Index	Atlas	Atlas_index	Atlas_value	Area	Abbreviation
1	SARM	5	52	accumbens_R	R.Nac
2	SARM	5	52	accumbens_L	L.Nac
3	SARM	6	46	caudate_head_R	R.caudHead
4	SARM	6	46	caudate_head_L	L.caudHead
5	SARM	6	47	caudate_tail_R	R.caudTailR
6	SARM	6	47	caudate_tail_L	L.caudTailL
7	SARM	6	56	external_globus_pallidus_R	R.eGlobPal
8	SARM	6	56	external_globus_pallidus_L	L.eGlobPal
9	SARM	6	57	internal_globus_pallidus_R	R.iGlobPal
10	SARM	6	57	internal_globus_pallidus_L	L.iGlobPal
11	SARM	5	48	putamen_R	R.putamen
12	SARM	5	48	putamen_L	L.putamen
13	SARM	5	60	ventral_pallidum_R	R.vPal
14	SARM	5	60	ventral_pallidum_L	L.vPal
15	CHARM	6	20	area_10mc_R	R.a10mc
16	CHARM	6	20	area_10mc_L	L.a10mc
17	CHARM	6	19	area_10mr_R	R.a10mr
18	CHARM	6	19	area_10mr_L	L.a10mr
19	CHARM	6	21	area_10o_R	R.a10o
20	CHARM	6	21	area_10o_L	L.a10oL
21	CHARM	4	5	area_25_R	R.a25
22	CHARM	4	5	area_25_L	L.a25
23	CHARM	4	4	area_32_R	R.a32
24	CHARM	4	4	area_32_L	L.a32
25	NA	NA	NA	anterior_insula_R	R.aic
26	NA	NA	NA	anterior_insula_L	L.aic
27	NA	NA	NA	hippocampus_R	R.hipp
28	NA	NA	NA	hippocampus_L	L.hipp
29	SARM	2	16	amygdala_R	R.amygd
30	SARM	2	16	amygdala_L	L.amygd
31	CHARM	2	125	posterior_medial_ctx_R	R.pmc
32	CHARM	2	125	posterior_medial_ctx_L	L.pmc
